sub_industry,industry,sector
Contract Manufacturing,Machinery Manufacturing,Manufacturing
Contract Packing,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Contract Signing,Legal Services,Professional Services
Control Measures,Engineering Services,Professional Services
Control Panel,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Control System Equipment,Machinery Manufacturing,Manufacturing
Control Valve Servicing,Repair and Maintenance,Consumer Services
Convenience Stores,Food and Beverage Retail,Retail
Conveyancing Services,Legal Services,Professional Services
Conveyors & Conveyor Belts,Machinery Manufacturing,Manufacturing
Convoyeurs Palettes,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Cookery & Culinary Schools,Technical and Vocational Training,Education
Cookery Classes,Technical and Vocational Training,Education
Cookery Lessons,Technical and Vocational Training,Education
Cooking Instruction,Technical and Vocational Training,Education
Cool/Cold Storage,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Cooling Tunnels,Machinery Manufacturing,Manufacturing
Copacking,Food and Beverage Manufacturing,Manufacturing
Copying & Duplicating Machines & Supplies,Retail Office Equipment,Retail
Copying & Duplicating Services,Printing Services,Manufacturing
Copyright Agents,Legal Services,Professional Services
Cork Products,Wood Product Manufacturing,Manufacturing
Corporate Communications,Business Consulting and Services,Professional Services
Corporate Entertainment Agency,Events Services,Administrative and Support Services
Corporate Events,Events Services,Administrative and Support Services
Corporate Food Service,Food and Beverage Services,Accommodation Services
Corporate Hospitality,Hospitality,Accommodation Services
Corporate Insolvency,Legal Services,Professional Services
Corporate IT,IT Services and IT Consulting,Professional Services
Corporate Meeting,Events Services,Administrative and Support Services
Corporate Reorganisations & Restructures,Legal Services,Professional Services
Corporate Team Building,Professional Training and Coaching,Education
Corporate Volunteering,Civic and Social Organizations,Consumer Services
Corporatewear,Apparel Manufacturing,Manufacturing
Correspondence/Distance Learning Schools,E-Learning Providers,Education
Corrosion Prevention And Control (cpc),Engineering Services,Professional Services
Cosmetic Dentistry,Medical Practices,Hospitals and Health Care
Cosmetic Products Manufacturers,Chemical Manufacturing,Manufacturing
Cosmetic Surgery,Medical Practices,Hospitals and Health Care
Costume Jewellery,Apparel Manufacturing,Manufacturing
Counselling & Advice,Individual and Family Services,Hospitals and Health Care
Counterbalance,Machinery Manufacturing,Manufacturing
Country Health Clubs,Health and Human Services,Government Administration
Courier,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Courier Exchange,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Courier Service,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Courier Services,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Courts,Administration of Justice,Government Administration
Cpd Courses,Professional Training and Coaching,Education
Craft Centres & Shops,Retail Art Supplies,Retail
"Crane Hire, Sales & Service",Equipment Rental Services,Real Estate and Equipment Rental Services
Crane Manufacturers,Machinery Manufacturing,Manufacturing
Credit & Finance Companies,Credit Intermediation,Financial Services
Credit Cards & Discount Cards,Credit Intermediation,Financial Services
Credit Institutions - Business & Personal,Credit Intermediation,Financial Services
Credit Reference Agencies,Credit Intermediation,Financial Services
Credit Unions,Credit Intermediation,Financial Services
Cremation & Funeral Services,Individual and Family Services,Hospitals and Health Care
Critical Care,Hospitals,Hospitals and Health Care
Crockery,Furniture and Home Furnishings Manufacturing,Manufacturing
Cruise Lines,Travel Arrangements,Administrative and Support Services
Crushing Plants,Mining,"Oil, Gas, and Mining"
Currency Exchange Service,Credit Intermediation,Financial Services
Curtain & Blind Fittings,Retail Furniture and Home Furnishings,Retail
Curtain Walling System,Building Construction,Construction
Custom Clearance Agents,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Custom Designed Catered Events To Meet All Of Your Needs This Includes Budget Catering,Hospitality,Accommodation Services
Custom It Systems,IT Services and IT Consulting,Professional Services
Custom Software,IT Services and IT Consulting,Professional Services
Custom Solutions,Business Consulting and Services,Professional Services
Customer Reviews,Advertising Services,Professional Services
Customer Service,Business Consulting and Services,Professional Services
Customs,Administration of Justice,Government Administration
Customs & Excise,Administration of Justice,Government Administration
Customs Brokerage,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Customs Brokers,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Customs Clearance & Forwarding,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Customs Compliance Auditing,Accounting,Professional Services
Customs Declarations,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Customs Formalities,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Customs Processing,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Cutlery Manufacturers,Fabricated Metal Products,Manufacturing
Cutting Services,Repair and Maintenance,Consumer Services
Cutting Tools & Machinery,Machinery Manufacturing,Manufacturing
Cv Services,Business Consulting and Services,Professional Services
Cycle Shops,Sporting Goods Manufacturing,Manufacturing
Cycles - Renting & Leasing,Equipment Rental Services,Real Estate and Equipment Rental Services
Cycling,Recreational Facilities,Entertainment Providers
Cycling Hardware,Sporting Goods Manufacturing,Manufacturing
Cycling Professional Services,Professional Training and Coaching,Education
Cytology,Medical Practices,Hospitals and Health Care
Dairies,Food and Beverage Manufacturing,Manufacturing
Dairy alternative,Food and Beverage Manufacturing,Manufacturing
Dairy Equipment Suppliers,Machinery Manufacturing,Manufacturing
Dairy Farmers,Farming,"Farming, Ranching, Forestry"
Dairy Produce Merchants,Food and Beverage Retail,Retail
Damp Course Manufacturers,Building Construction,Construction
Dance & Balletwear,Apparel Manufacturing,Manufacturing
Dancing Schools,Technical and Vocational Training,Education
Data & Cloud Storage,IT Services and IT Consulting,Professional Services
Data Center Infrastructure,IT Services and IT Consulting,Professional Services
Data Communication And Network,IT Services and IT Consulting,Professional Services
Data Disposal Service,IT Services and IT Consulting,Professional Services
Data Recovery,IT Services and IT Consulting,Professional Services
Data Shredding,IT Services and IT Consulting,Professional Services
Database Management,IT Services and IT Consulting,Professional Services
Database Services,IT Services and IT Consulting,Professional Services
Date Nectar,Food and Beverage Manufacturing,Manufacturing
Dating & Friendship Agencies,Individual and Family Services,Hospitals and Health Care
Day Care Centers,Individual and Family Services,Hospitals and Health Care
Debt Advice,Individual and Family Services,Hospitals and Health Care
Debt Collection Agencies,Collection Agencies,Administrative and Support Services
Debt Consolidation,Credit Intermediation,Financial Services
Decentralization,IT Services and IT Consulting,Professional Services
Deck Shoes,Leather Product Manufacturing,Manufacturing
Decking,Building Construction,Construction
Deconstruction & Enabling Works,Building Construction,Construction
Decorators' Merchants,Retail Building Materials and Garden Equipment,Retail
Deep Cleaning,Facilities Services,Administrative and Support Services
Defence Systems,Military and International Affairs,Government Administration
Dehumidifiers & Humidifiers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Delivery Service,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Delivery Services,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Demolition & Dismantling Contractors,Building Construction,Construction
Dental Care,Medical Practices,Hospitals and Health Care
Dental Equipment & Supplies,Medical Equipment Manufacturing,Manufacturing
Dental Technicians,Medical Practices,Hospitals and Health Care
Department Stores,Food and Beverage Retail,Retail
Dermal Fillers,Medical Practices,Hospitals and Health Care
Dermatology,Medical Practices,Hospitals and Health Care
Design,Design Services,Professional Services
Design Engineers,Engineering Services,Professional Services
Desk Top Publishing Equipment & Services,Computers and Electronics Manufacturing,Manufacturing
Dessert/ice Cream - Manufacturers & Suppliers,Food and Beverage Manufacturing,Manufacturing
Detroit Diesel,Transportation Equipment Manufacturing,Manufacturing
Developer Tools,"Technology, Information and Internet","Technology, Information and Media"
Development Agencies,Business Consulting and Services,Professional Services
Dgsa Service,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Dgsa Training,Professional Training and Coaching,Education
Diagnostic Imaging,Medical Practices,Hospitals and Health Care
"Diamond Cutters, Polishers & Merchants",Retail Luxury Goods and Jewelry,Retail
Diamond Tool Manufacturers,Machinery Manufacturing,Manufacturing
Diathermy Equipment,Medical Equipment Manufacturing,Manufacturing
Die Casting Machine & Services,Machinery Manufacturing,Manufacturing
Diesel Engine Repair & Maintenance Services,Repair and Maintenance,Consumer Services
Diesel Fuel Injection Services,Oil and Gas,"Oil, Gas, and Mining"
Diesel Sideloaders,Machinery Manufacturing,Manufacturing
Diet Club/weight Loss Services,Medical Practices,Hospitals and Health Care
Dietitians & Nutritionists,Medical Practices,Hospitals and Health Care
Digital Agency,Advertising Services,Professional Services
Digital Data,IT Services and IT Consulting,Professional Services
Digital Imaging & Photo Processing,Photography,Professional Services
Digital Marketing,Advertising Services,Professional Services
Digital Marketing Consultancy,Advertising Services,Professional Services
Digital Marketing Content Population,Advertising Services,Professional Services
Digital Marketing For The Veterinary Sector,Advertising Services,Professional Services
Digital Media,Media and Telecommunications,"Technology, Information and Media"
Digital Performance,Business Consulting and Services,Professional Services
Digital Printing,Printing Services,Manufacturing
Digital Production,Media and Telecommunications,"Technology, Information and Media"
Digital Publishing,Media and Telecommunications,"Technology, Information and Media"
Digital Signage,Media and Telecommunications,"Technology, Information and Media"
Digital Signage Hardware,Computers and Electronics Manufacturing,Manufacturing
Digital Signage Media,Advertising Services,Professional Services
Digital Signage Software & Services,IT Services and IT Consulting,Professional Services
Digital Thermal Imaging Products,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Dining Out,Food and Beverage Services,Accommodation Services
Direct Importers,Wholesale Import and Export,Wholesale
Direct Mail,Advertising Services,Professional Services
Direct/indirect Spend Analysis,Business Consulting and Services,Professional Services
Directories,Media and Telecommunications,"Technology, Information and Media"
Directories Advertising,Advertising Services,Professional Services
Directory Enquiries,Business Consulting and Services,Professional Services
Directory Publishers,Media and Telecommunications,"Technology, Information and Media"
Dirt Bikes,Retail Motor Vehicles,Retail
Disabled Parking Permit Holders,Public Policy Offices,Government Administration
Disco Equipment,Retail Musical Instruments,Retail
Discos,Performing Arts and Spectator Sports,Entertainment Providers
Discount Centres,Retail Apparel and Fashion,Retail
Dishwasher - Servicing & Repairs,Repair and Maintenance,Consumer Services
Dishwashers - Sales & Service,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Dispensing Opticians (dos),Medical Practices,Hospitals and Health Care
Dispensing Pharmacist,Retail Health and Personal Care Products,Retail
Display & Window Dressing Services,Design Services,Professional Services
Display Fixtures & Fittings,Retail Office Supplies and Gifts,Retail
Disposable Gloves,Retail Health and Personal Care Products,Retail
Disposable Paper Products,Paper and Forest Product Manufacturing,Manufacturing
Disposable Products,Plastics and Rubber Product Manufacturing,Manufacturing
Distilleries,Food and Beverage Manufacturing,Manufacturing
Distribution,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Distribution Automobile,Wholesale Motor Vehicles and Parts,Wholesale
Distribution Of Orangina & Limona,Food and Beverage Retail,Retail
Distribution Partner,Business Consulting and Services,Professional Services
Distribution Planning,Business Consulting and Services,Professional Services
Distribution Services,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Diversified Capital Markets,Capital Markets,Financial Services
Diving Equipment & Supplies,Sporting Goods Manufacturing,Manufacturing
Diving Schools,Technical and Vocational Training,Education
Do It Yourself Shops,Retail Building Materials and Garden Equipment,Retail
Do It Yourself Wholesalers (diy),Wholesale Building Materials,Wholesale
Doctors/physicians,Medical Practices,Hospitals and Health Care
Document Image Processing Systems,IT Services and IT Consulting,Professional Services
Document Management,IT Services and IT Consulting,Professional Services
Document Management Services,IT Services and IT Consulting,Professional Services
Dog & Cat Splints,Veterinary Services,Professional Services
Dog Behaviour & Canine Fertility,Veterinary Services,Professional Services
Dog Behaviour & Training,Personal and Laundry Services,Consumer Services
Dog Boarding,Personal and Laundry Services,Consumer Services
Dog Clipping & Grooming/pet Groomers,Personal and Laundry Services,Consumer Services
Dog Grooming,Personal and Laundry Services,Consumer Services
Dog Kennels - manufacturers & Suppliers,Veterinary Services,Professional Services
Dog Trainer,Personal and Laundry Services,Consumer Services
Dog Training,Personal and Laundry Services,Consumer Services
Dog Walker,Personal and Laundry Services,Consumer Services
Dog Walking & Pet Visits,Personal and Laundry Services,Consumer Services
Dog Walking Services,Personal and Laundry Services,Consumer Services
Doggy Day Care,Personal and Laundry Services,Consumer Services
Dolls & Dolls' Houses,Retail Office Supplies and Gifts,Retail
Dolls' Hospitals,Repair and Maintenance,Consumer Services
Domestic Appliances - Sales,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Domestic Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
"Domestic Door Manufacturers, Wooden Door Manufacturer",Wood Product Manufacturing,Manufacturing
Domestic Energy Assessors,Engineering Services,Professional Services
Domestic Pallet Network,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Domestic Staff,Household Services,Consumer Services
Door & Window Guards & Grilles,Fabricated Metal Products,Manufacturing
Door And Gate Operators,Machinery Manufacturing,Manufacturing
Door Repairing Service,Repair and Maintenance,Consumer Services
Door Stockists,Wholesale Building Materials,Wholesale
Door To Door Services,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Double Glazing Installers,Building Construction,Construction
Double Glazing Repairs,Repair and Maintenance,Consumer Services
Double Glazing Suppliers,Retail Building Materials and Garden Equipment,Retail
Draft Beer Systems,Food and Beverage Services,Accommodation Services
Drain & Sewer Clearance - Equipment,Machinery Manufacturing,Manufacturing
Drainage Contractors,Specialty Trade Contractors,Construction
Drama Schools,Technical and Vocational Training,Education
Draught Proofing Installer,Specialty Trade Contractors,Construction
Draughtsmen & Drawing Services,Engineering Services,Professional Services
Drawing Office Equipment & Supplies,Retail Office Supplies and Gifts,Retail
Dress Agencies,Retail Apparel and Fashion,Retail
Dresses,Apparel Manufacturing,Manufacturing
Dressmakers,Apparel Manufacturing,Manufacturing
Dresswear Hire,Retail Apparel and Fashion,Retail
Drilling & Boring Equipment & Supplies,Machinery Manufacturing,Manufacturing
Drinking Water Coolers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Drinking Water Solutions For Office & Home,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Drinks,Food and Beverage Manufacturing,Manufacturing
Driver And Vehicle Licensing Agency (dvla),Public Policy Offices,Government Administration
Driver Assessments,Professional Training and Coaching,Education
Driver Behaviour & Fatigue Monitoring,IT Services and IT Consulting,Professional Services
Driver Hire,Staffing and Recruiting,Administrative and Support Services
Driver Training,Technical and Vocational Training,Education
Driver Training & Transport Management Training,Technical and Vocational Training,Education
Drivers Of Deforestation,Environmental Quality Programs,Government Administration
Drivers On Demand & Food Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Driving,Professional Training and Coaching,Education
Driving Instructor Training,Technical and Vocational Training,Education
Driving Recruitment,Staffing and Recruiting,Administrative and Support Services
Driving Schools/ Motor Training Schools,Technical and Vocational Training,Education
Drug & Alcohol Testing,Medical Practices,Hospitals and Health Care
Drug Addiction Advice & Counselling,Health and Human Services,Government Administration
Drug And Alcohol Addiction Counselling,Health and Human Services,Government Administration
Drug Development,Chemical Manufacturing,Manufacturing
Drug Stores/pharmacies,Retail Health and Personal Care Products,Retail
"Drums, Kegs, Barrels & Casks",Wholesale Food and Beverage,Wholesale
Dry Cleaners/laundry Services,Personal and Laundry Services,Consumer Services
Dry Ice Pellets,Chemical Manufacturing,Manufacturing
Dry Lining Contractors,Specialty Trade Contractors,Construction
Dry Rot Treatment,Specialty Trade Contractors,Construction
Dry Stone Walling,Building Construction,Construction
Ducting & Duct Fittings,Building Construction,Construction
Dump Truck Services,Truck Transportation,"Transportation, Logistics, Supply Chain and Storage"
Dust Extraction Systems,Environmental Quality Programs,Government Administration
Dust Extraction Systems Plant & Equipment Manufacturers,Machinery Manufacturing,Manufacturing
Duty Drawback,Economic Programs,Government Administration
DVD & Video Libraries,Media and Telecommunications,"Technology, Information and Media"
Dyers,Textile Manufacturing,Manufacturing
Dyslexia Assessment And Identification,Health and Human Services,Government Administration
E-learning,E-Learning Providers,Education
Ebay Shipping,Postal Services,"Transportation, Logistics, Supply Chain and Storage"
Ebike Specialist,Retail Motor Vehicles,Retail
Echocardiography & Cardiology,Medical Practices,Hospitals and Health Care
Eco Friendly Products,Climate Technology Products Manufacturing,Manufacturing
Ecological Clerk Of Works,Architecture and Planning,Professional Services
Ecological Consultancy,Environmental Quality Programs,Government Administration
Ecological Contracting,Building Construction,Construction
Ecology,Environmental Quality Programs,Government Administration
Ecommerce,Online and Mail Order Retail,Retail
Ecommerce Automation & Software,IT Services and IT Consulting,Professional Services
Ecommerce Deliveries,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Ecommerce Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Ecommerce Fulfillment,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Ecommerce Fulfilment,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Ecommerce Order Fulfilment,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Ecommerce Pick,Warehousing and Storage,"Transportation, Logistics, Supply Chain and Storage"
Ecommerce Service,Online and Mail Order Retail,Retail
Editorial & Proof Reading Services,Writing and Editing,Administrative and Support Services
Educatie & Participatie,Civic and Social Organizations,Consumer Services
Education Agencies & Authorities,Public Policy Offices,Government Administration
Education Catering,Food and Beverage Services,Accommodation Services
Education In Osteosynthesis,Medical Practices,Hospitals and Health Care
Educational Accreditation,Non-profit Organizations,Consumer Services
Educational Brewing Classes,Professional Training and Coaching,Education
Educational Equipment & Supplies,Retail Office Supplies and Gifts,Retail
Educational Services,Professional Training and Coaching,Education
Educational Training Providers,Professional Training and Coaching,Education
Elastic Goods,Apparel Manufacturing,Manufacturing
Electric Adjustable Beds,Retail Furniture and Home Furnishings,Retail
Electric Bikes,Retail Motor Vehicles,Retail
Electric Motor Manufacturers,Machinery Manufacturing,Manufacturing
Electric Motor Sales & Service,Machinery Manufacturing,Manufacturing
Electric vehicle,Transportation Equipment Manufacturing,Manufacturing
Electric Vehicle (ev),Transportation Equipment Manufacturing,Manufacturing
Electric Vehicle Design,Engineering Services,Professional Services
Electrical Appliance - Servicing & Repairs,Repair and Maintenance,Consumer Services
Electrical Appliance Repairs,Repair and Maintenance,Consumer Services
Electrical Distribution Companies,"Electric Power Transmission, Control, and Distribution",Utilities
Electrical Engineers,Engineering Services,Professional Services
"Electrical Goods Sales, Manufacturers & Wholesalers","Retail Appliances, Electrical, and Electronic Equipment",Retail
Electrical Heating Equipment & Systems,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Electrical Testing & Inspecting,Engineering Services,Professional Services
Electrical Wholesalers,"Wholesale Appliances, Electrical, and Electronics",Wholesale
Electricians/electrical Installation Services,Specialty Trade Contractors,Construction
Electricity,Electric Power Generation,Utilities
Electricity Generating & Distributing Equipment,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Electro Chemical Water Treatment,Environmental Quality Programs,Government Administration
Electro Mecanical,Machinery Manufacturing,Manufacturing
Electrolysis & Laser Hair Removal,Personal and Laundry Services,Consumer Services
Electronic Bills Of Lading Eb,"Technology, Information and Internet","Technology, Information and Media"
Electronic Cigarettes,Tobacco Manufacturing,Manufacturing
Electronic Components,Computers and Electronics Manufacturing,Manufacturing
Electronic Engineers,Engineering Services,Professional Services
Elevator Maintenance Services/servicing & Repairs,Repair and Maintenance,Consumer Services
Elevator Manufacturers,Machinery Manufacturing,Manufacturing
Email Marketing,Advertising Services,Professional Services
Embroiderers,Apparel Manufacturing,Manufacturing
Embroidery Machines,Machinery Manufacturing,Manufacturing
Emergency & Critical Care,Hospitals,Hospitals and Health Care
Emergency Care,Hospitals,Hospitals and Health Care
Emergency Dental Treatment,Medical Practices,Hospitals and Health Care
Emergency Medicine,Hospitals,Hospitals and Health Care
Emergency Pet Hospital,Veterinary Services,Professional Services
Emergency Plumbing,Specialty Trade Contractors,Construction
Emergency Transport,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Emission Regulation,Environmental Quality Programs,Government Administration
Employee Assistance Programs,Business Consulting and Services,Professional Services
Employee Discounts,Business Consulting and Services,Professional Services
Employee Engagement,Business Consulting and Services,Professional Services
Employee Wellness,Health and Human Services,Government Administration
Employment & Recruitment Agencies,Staffing and Recruiting,Administrative and Support Services
Employment Law - Solicitors,Legal Services,Professional Services
Employment Services,Staffing and Recruiting,Administrative and Support Services
Enamelling,Plastics and Rubber Product Manufacturing,Manufacturing
End Of Life Care,Health and Human Services,Government Administration
Endangered Species Conservation,Environmental Quality Programs,Government Administration
Energy & Carbon Strategy,Services for Renewable Energy,Professional Services
Energy Assessors - Commercial,Engineering Services,Professional Services
Energy Assessors-domestic,Engineering Services,Professional Services
Energy Conservation Consultants & Equipment,Engineering Services,Professional Services
Energy Consultancy,Engineering Services,Professional Services
Energy Contracts,Electric Power Generation,Utilities
Energy Drinks,Food and Beverage Manufacturing,Manufacturing
Energy Efficiency Audits,Engineering Services,Professional Services
Energy Efficient Commercial Refrigeration,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Energy Efficient Products And Services,Climate Technology Products Manufacturing,Manufacturing
Energy Management,Engineering Services,Professional Services
Energy Management Control Systems,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Energy Management Programmes,Business Consulting and Services,Professional Services
Energy Performance Certificates,Engineering Services,Professional Services
Engine Manufacturers & Distributors,Machinery Manufacturing,Manufacturing
Engine Rebuilding & Reconditioning,Repair and Maintenance,Consumer Services
Engineering Consulting Services,Engineering Services,Professional Services
Engineering Machine Services & Maintenance,Repair and Maintenance,Consumer Services
Engineering Materials,Engineering Services,Professional Services
Engineering Personnel,Staffing and Recruiting,Administrative and Support Services
Engineering Services,Engineering Services,Professional Services
Engineers - General,Engineering Services,Professional Services
Engineers' Merchants,Wholesale Machinery,Wholesale
Engines - Sales & Service,Repair and Maintenance,Consumer Services
English Restaurants,Food and Beverage Services,Accommodation Services
Engraving Services,Repair and Maintenance,Consumer Services
Enterprise Ecommerce,Online and Mail Order Retail,Retail
Enterprise Software,"Technology, Information and Internet","Technology, Information and Media"
Entertainment,Performing Arts and Spectator Sports,Entertainment Providers
Entertainment Centres,Performing Arts and Spectator Sports,Entertainment Providers
Entertainment Touring,Performing Arts and Spectator Sports,Entertainment Providers
Envelopes,Paper and Forest Product Manufacturing,Manufacturing
Environmental Claims Management,Insurance,Financial Services
Environmental Compliance,Engineering Services,Professional Services
Environmental Consultancy,Engineering Services,Professional Services
Environmental Consultants & Services,Environmental Quality Programs,Government Administration
Environmental Consulting,Environmental Quality Programs,Government Administration
Environmental Contracting,Environmental Quality Programs,Government Administration
Environmental Drilling,Mining,"Oil, Gas, and Mining"
Environmental Education,Environmental Quality Programs,Government Administration
Environmental Engineers,Engineering Services,Professional Services
Environmental Expert Witness,Legal Services,Professional Services
Environmental Impact Assessment,Environmental Quality Programs,Government Administration
Environmental Learning,Environmental Quality Programs,Government Administration
Environmental Monitoring,Environmental Quality Programs,Government Administration
Environmental Science,Research Services,Professional Services
Environmental Services,Environmental Quality Programs,Government Administration
Equine Care,Veterinary Services,Professional Services
Equine Feeding,Farming,"Farming, Ranching, Forestry"
Equine Feeds,Farming,"Farming, Ranching, Forestry"
Equine Health,Veterinary Services,Professional Services
Equine Nutrition,Farming,"Farming, Ranching, Forestry"
Equine Practice Management Systems,Veterinary Services,Professional Services
Equine Reproduction,Veterinary Services,Professional Services
Equine Respiratory Therapy,Veterinary Services,Professional Services
Equine Sports Equipment,Sporting Goods Manufacturing,Manufacturing
Equine Supplements,Wholesale Drugs and Sundries,Wholesale
Equipment & Vehicle Training,Professional Training and Coaching,Education
Equipment Installation,Specialty Trade Contractors,Construction
Equity Finance,Capital Markets,Financial Services
Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate and Equipment Rental Services
Equity Release,Capital Markets,Financial Services
Erbe Aromatiche Fresche Confezionate Fresh Packaged Aromatic Herbs,Food and Beverage Manufacturing,Manufacturing
Ergonomics,Business Consulting and Services,Professional Services
Esco Energy Supply Contracts,"Electric Power Transmission, Control, and Distribution",Utilities
Escooters,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Escort Agencies,Individual and Family Services,Hospitals and Health Care
Esourcing,IT Services and IT Consulting,Professional Services
Espresso Coffee Machines,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Espresso Machine Rental,Equipment Rental Services,Real Estate and Equipment Rental Services
Essential Oil Merchants/dealer,Retail Health and Personal Care Products,Retail
Estate Agency,Real Estate,Real Estate and Equipment Rental Services
Event Development,Events Services,Administrative and Support Services
Event Management,Events Services,Administrative and Support Services
Event Medical Support,Health and Human Services,Government Administration
Event Planning & Services,Events Services,Administrative and Support Services
Event Security,Security and Investigations,Administrative and Support Services
Events,Events Services,Administrative and Support Services
Events & Reservations,Events Services,Administrative and Support Services
Events Management,Events Services,Administrative and Support Services
Examination Boards,Primary and Secondary Education,Education
Examinations & Repairs,Repair and Maintenance,Consumer Services
Excavation Groundwork Contractors,Building Construction,Construction
Excess Baggage,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Executive Chauffeur Service,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Executive Coaching,Professional Training and Coaching,Education
Executive Search,Staffing and Recruiting,Administrative and Support Services
Executive Service,Business Consulting and Services,Professional Services
Exercise & Workout/fitness Classes,Recreational Facilities,Entertainment Providers
Exhaust & Shock Absorber Centres,Repair and Maintenance,Consumer Services
Exhaust System Manufacturers & Wholesalers,Wholesale Motor Vehicles and Parts,Wholesale
Exhibition & Event Organisers,Events Services,Administrative and Support Services
Exhibition & Trade Centres,Recreational Facilities,Entertainment Providers
Exhibition Services,Events Services,Administrative and Support Services
Explosives - Engineers,Engineering Services,Professional Services
Export & Import Agents,Wholesale Import and Export,Wholesale
Express Delivery,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Express Palletised Freight,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Express Shipping,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Express Transport,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Express Vans,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Eyewear,Retail Health and Personal Care Products,Retail
Eyewear & Opticians,Retail Health and Personal Care Products,Retail
Eyewear Design,Design Services,Professional Services
Fabric Shops,Retail Apparel and Fashion,Retail
Facilities Management,Facilities Services,Administrative and Support Services
Facilities Services,Facilities Services,Administrative and Support Services
Factoring Services,Credit Intermediation,Financial Services
Factory Outlets,Retail Apparel and Fashion,Retail
Fair Trade/exhibition And Trade Fair/conference,Events Services,Administrative and Support Services
Falconry,Performing Arts and Spectator Sports,Entertainment Providers
Family Helplines,Community Services,Hospitals and Health Care
Family Planning Centres/contraception Clinics,Medical Practices,Hospitals and Health Care
Family Restaurants,Food and Beverage Services,Accommodation Services
Fan Clubs,Civic and Social Organizations,Consumer Services
Fancy Dress Shops,Retail Apparel and Fashion,Retail
Fans & Blowers,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Far East Import,Wholesale Import and Export,Wholesale
Farm Animals,Farming,"Farming, Ranching, Forestry"
Farm Building,Building Construction,Construction
Farm Fresh Food,Food and Beverage Retail,Retail
Farm Shops,Food and Beverage Retail,Retail
Farm Veterinary Surgeons,Veterinary Services,Professional Services
Farm-to-table Products,Food and Beverage Manufacturing,Manufacturing
Farm/agricultural Machinery - Sales & Service,Wholesale Machinery,Wholesale
Farmers,Farming,"Farming, Ranching, Forestry"
Farmers Market,Food and Beverage Retail,Retail
